municipio,confirmado_29_06,suspeito_29_06,morte_29_06,confirmado_26_06,suspeito_26_06,morte_26_06,confirmado_25_06,suspeito_25_06,morte_25_06,confirmado_24_06,suspeito_24_06,morte_24_06,confirmado_23_06,suspeito_23_06,morte_23_06,confirmado_22_06,suspeito_22_06,morte_22_06,confirmado_20_06,suspeito_20_06,morte_20_06,confirmado_19_06,suspeito_19_06,morte_19_06,confirmado_18_06,suspeito_18_06,morte_18_06,confirmado_17_06,suspeito_17_06,morte_17_06,confirmado_16_06,suspeito_16_06,morte_16_06,confirmado_15_06,suspeito_15_06,morte_15_06,confirmado_13_06,suspeito_13_06,morte_13_06,confirmado_12_06,suspeito_12_06,morte_12_06,confirmado_11_06,suspeito_11_06,morte_11_06,confirmado_10_06,suspeito_10_06,morte_10_06,confirmado_09_06,suspeito_09_06,morte_09_06,confirmado_08_06,suspeito_08_06,morte_08_06,confirmado_06_06,suspeito_06_06,morte_06_06,confirmado_05_06,suspeito_05_06,morte_05_06,confirmado_04_06,suspeito_04_06,morte_04_06,confirmado_03_06,suspeito_03_06,morte_03_06,confirmado_02_06,suspeito_02_06,morte_02_06,confirmado_01_06,suspeito_01_06,morte_01_06,confirmado_30_05,suspeito_30_05,morte_30_05,confirmado_29_05,suspeito_29_05,morte_29_05,confirmado_27_05,suspeito_27_05,morte_27_05,confirmado_26_05,suspeito_26_05,morte_26_05,confirmado_25_05,suspeito_25_05,morte_25_05,confirmado_23_05,suspeito_23_05,morte_23_05,confirmado_22_05,suspeito_22_05,morte_22_05,confirmado_21_05,suspeito_21_05,morte_21_05,confirmado_20_05,suspeito_20_05,morte_20_05,confirmado_19_05,suspeito_19_05,morte_19_05,confirmado_18_05,suspeito_18_05,morte_18_05,confirmado_17_05,suspeito_17_05,morte_17_05,confirmado_16_05,suspeito_16_05,morte_16_05,confirmado_15_05,suspeito_15_05,morte_15_05,suspeito_14_05,confirmado_14_05,morte_14_05,confirmado_13_05,suspeito_13_05,morte_13_05,confirmado_12_05,suspeito_12_05,morte_12_05,confirmado_11_05,suspeito_11_05,morte_11_05,confirmado_10_05,suspeito_10_05,morte_10_05,confirmado_09_05,suspeito_09_05,morte_09_05,confirmado_08_05,suspeito_08_05,morte_08_05,confirmado_07_05,suspeito_07_05,morte_07_05,confirmado_06_05,suspeito_06_05,morte_06_05,confirmado_05_05,suspeito_05_05,morte_05_05,confirmado_04_05,suspeito_04_05,morte_04_05,confirmado_03_05,suspeito_03_05,morte_03_05,confirmado_02_05,suspeito_02_05,morte_02_05,confirmado_01_05,suspeito_01_05,morte_01_05,confirmado_30_04,suspeito_30_04,morte_30_04,confirmado_29_04,suspeito_29_04,morte_29_04,confirmado_28_04,suspeito_28_04,morte_28_04,confirmado_27_04,suspeito_27_04,morte_27_04,confirmado_26_04,suspeito_26_04,morte_26_04,confirmado_25_04,suspeito_25_04,morte_25_04,confirmado_24_04,suspeito_24_04,morte_24_04,confirmado_23_04,suspeito_23_04,morte_23_04,confirmado_22_04,suspeito_22_04,morte_22_04,confirmado_21_04,suspeito_21_04,morte_21_04,confirmado_20_04,suspeito_20_04,morte_20_04,confirmado_18_04,suspeito_18_04,morte_18_04,confirmado_17_04,suspeito_17_04,morte_17_04,confirmado_16_04,suspeito_16_04,morte_16_04,confirmado_15_04,suspeito_15_04,morte_15_04,confirmado_14_04,suspeito_14_04,morte_14_04,confirmado_13_04,suspeito_13_04,morte_13_04,confirmado_12_04,suspeito_12_04,morte_12_04,confirmado_11_04,suspeito_11_04,morte_11_04,confirmado_10_04,suspeito_10_04,morte_10_04,confirmado_09_04,suspeito_09_04,morte_09_04,confirmado_08_04,suspeito_08_04,morte_08_04,confirmado_07_04,suspeito_07_04,morte_07_04,morte_06_04,confirmado_05_04,suspeito_05_04,morte_05_04,morte_04_04,confirmado_03_04,suspeito_03_04,morte_03_04,confirmado_02_04,suspeito_02_04,morte_02_04,confirmado_01_04,suspeito_01_04,morte_01_04,morte_31_03,confirmado_30_03,suspeito_30_03,morte_30_03,morte_29_03,confirmado_28_03,suspeito_28_03,morte_28_03,confirmado_27_03,suspeito_27_03,morte_27_03,morte_26_03,confirmado_25_03,suspeito_25_03,morte_25_03,confirmado_24_03,suspeito_24_03,morte_24_03,morte_23_03,confirmado_22_03,suspeito_22_03,morte_22_03,morte_21_03,confirmado_20_03,suspeito_20_03,morte_20_03,morte_19_03,confirmado_18_03,suspeito_18_03,morte_18_03,morte_17_03,confirmado_16_03,suspeito_16_03,morte_16_03,morte_15_03,morte_14_03,confirmado_13_03,suspeito_13_03,morte_13_03,morte_12_03,suspeito_11_03,suspeito_10_03,suspeito_06_03,suspeito_05_03,suspeito_03_03,suspeito_02_03,suspeito_28_02
Patu,16,19,1,9,18,1,16,19,1,8,16,1,6,15,1,6,16,1,6,16,1,6,14,1,6,14,1,6,14,1,6,14,1,6,12,1,6,12,1,6,12,1,6,12,1,6,12,1,6,12,1,6,12,1,4,9,1,4,10,1,4,10,1,4,10,1,4,5,1,4,5,1,4,4,1,4,4,1,2,7,1,2,7,1,2,7,1,1,9,,1,6,,1,5,,1,5,,,2,,,2,,,2,,,2,,,2,,2,,,,2,,,2,,,3,,,4,,,4,,,3,,,3,,,4,,,4,,,5,,,5,,,5,,,5,,,4,,,3,,,3,,,3,,,3,,,3,,,2,,,2,,,2,,,2,,,2,,,2,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,2,,,,2,,,,2,,,2,,,2,,,,2,,,,2,,,2,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Pau dos Ferros,50,81,1,36,69,2,50,81,1,32,66,1,29,61,1,29,86,1,28,86,1,27,76,1,27,76,1,27,76,1,27,76,1,27,74,1,27,74,1,27,74,1,26,74,1,23,74,1,23,75,1,23,76,1,21,77,1,21,79,1,21,79,1,21,80,1,21,73,1,21,73,1,21,66,1,21,66,1,19,65,1,19,63,1,19,62,1,19,63,1,19,60,1,19,56,1,19,54,1,19,51,1,15,49,1,15,49,1,15,49,1,12,46,,44,11,,11,41,,10,40,,9,39,,9,34,,9,34,,9,32,,9,29,,8,28,,8,25,,7,23,,7,26,,7,26,,7,27,,7,25,,5,24,,3,28,,3,19,,3,19,,3,19,,3,16,,3,12,,2,11,,1,13,,1,13,,1,5,,1,4,,1,4,,1,4,,1,4,,,8,,,10,,,11,,,11,,,11,,,9,,,6,,,,5,,,,9,,,7,,,9,,,,5,,,,5,,,5,,,,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedra Grande,29,9,,27,12,,29,9,,26,11,,26,8,,26,8,,23,11,,21,6,,21,6,,21,6,,21,6,,21,6,,19,8,,19,8,,19,8,,19,8,,16,11,,16,11,,16,7,,16,7,,16,7,,16,7,,13,6,,12,6,,11,3,,10,4,,7,5,,7,5,,4,7,,4,7,,2,6,,2,7,,2,7,,2,7,,2,7,,2,7,,2,7,,2,6,,6,2,,2,6,,1,4,,1,2,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedra Preta,6,8,,2,8,,6,8,,1,8,,1,8,,1,8,,1,8,,1,7,,1,7,,1,7,,,7,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,3,,,3,,,3,,,3,,,3,,,3,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedro Avelino,13,12,,10,20,,13,12,,8,19,,8,17,,8,17,,8,18,,5,14,,5,14,,5,14,,5,14,,5,13,,5,13,,5,13,,5,13,,5,13,,4,13,,4,13,,4,12,,4,14,,4,14,,3,15,,3,13,,3,13,,3,12,,3,12,,3,12,,3,11,,2,11,,2,13,,1,10,,1,8,,1,8,,1,8,,1,6,,1,6,,,6,,,6,,6,,,,4,,,5,,,5,,,3,,,3,,,3,,,1,,,,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedro Velho,25,37,,18,45,,25,37,,18,37,,16,27,,16,30,,16,30,,13,17,,13,17,,13,17,,13,17,,13,16,,13,16,,13,16,,13,16,,10,16,,7,19,,7,19,,7,10,,7,11,,7,11,,6,12,,5,8,,5,8,,4,8,,3,9,,3,8,,3,8,,3,4,,3,4,,2,5,,2,5,,2,5,,2,5,,2,4,,2,4,,2,4,,2,4,,4,1,,1,4,,1,4,,1,4,,1,4,,1,4,,1,4,,1,4,,1,4,,,4,,,4,,,4,,,5,,,5,,,4,,,5,,,6,,,5,,,5,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,4,,,4,,,4,,,4,,,4,,,4,,,,4,,,,5,,,3,,,3,,,,1,,,,1,,,2,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pendências,165,115,7,128,64,7,165,115,7,119,64,6,114,50,5,114,57,5,112,58,5,95,33,5,95,33,5,95,33,5,93,34,5,87,34,5,85,35,5,84,36,5,84,37,5,73,37,3,71,39,2,71,39,2,54,31,2,54,31,2,54,31,2,54,31,2,36,29,2,36,29,2,33,23,2,32,24,2,24,27,2,23,26,1,19,28,1,19,33,1,15,32,1,13,32,1,10,31,1,9,28,1,9,21,1,9,21,1,11,21,1,9,17,1,17,6,1,6,11,1,4,11,,4,9,,4,8,,4,8,,3,5,,1,5,,1,4,,1,4,,1,2,,1,2,,1,2,,1,2,,1,1,,,1,,,1,,,2,,,2,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,2,,,2,,,2,,,,1,,,,1,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Pilões,17,4,,13,11,,17,4,,13,10,,12,10,,12,10,,12,10,,10,10,,10,10,,10,10,,9,10,,9,8,,9,8,,9,8,,9,8,,7,8,,7,8,,7,8,,5,8,,5,8,,5,8,,5,8,,5,8,,5,8,,5,6,,5,6,,4,6,,3,8,,2,8,,2,8,,2,8,,2,5,,2,5,,2,4,,2,3,,2,3,,2,3,,2,3,,2,2,,2,,,2,,,2,,,2,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,1,,,1,,,,1,,,,1,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poço Branco,110,26,2,91,37,1,110,26,2,80,33,1,63,25,1,63,24,1,58,28,1,36,20,1,36,20,1,34,20,1,33,20,1,28,20,1,28,20,1,27,21,,26,22,,20,22,,20,22,,20,24,,18,17,,18,18,,18,18,,18,18,,16,15,,16,15,,16,14,,12,18,,7,12,,7,6,,4,8,,4,10,,3,9,,3,9,,2,7,,2,4,,2,4,,2,4,,2,4,,2,2,,1,2,,2,1,,2,,,2,1,,1,2,,1,2,,1,2,,1,2,,1,2,,1,1,,1,,,1,,,1,,,1,1,,1,1,,1,3,,1,8,,1,6,,1,5,,1,4,,1,1,,1,4,,1,5,,1,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portalegre,10,4,,9,3,,10,4,,8,3,,7,1,,7,1,,7,1,,4,3,,4,3,,4,3,,4,3,,4,,,4,,,4,,,4,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,2,1,,2,1,,2,1,,2,1,,2,1,,2,3,,2,3,,2,3,,2,3,,2,3,,3,2,,2,3,,2,3,,2,2,,2,,,2,,,2,,,2,,,1,1,,2,1,,2,1,,2,1,,1,1,,1,1,,,2,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porto do Mangue,40,82,2,31,83,2,40,82,2,31,80,2,30,73,2,30,77,1,27,77,1,25,66,1,25,66,1,25,66,1,25,66,1,22,57,1,22,57,1,22,57,1,22,57,1,22,59,1,19,62,1,19,62,1,19,38,1,19,38,1,19,38,1,19,38,1,19,25,1,19,25,1,16,18,1,12,21,,11,23,,10,17,,9,17,,4,20,,3,20,,2,21,,2,19,,2,19,,2,16,,2,16,,2,16,,2,16,,15,2,,2,13,,2,11,,2,9,,1,9,,1,9,,1,8,,1,8,,1,8,,1,6,,1,6,,,4,,,4,,,3,,,2,,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pureza,70,17,1,60,26,1,70,17,1,59,25,1,59,22,1,59,23,1,56,25,1,51,16,1,50,16,1,49,16,1,47,19,1,47,14,1,45,17,,45,17,,44,16,,34,16,,34,16,,31,16,,20,14,,20,14,,19,15,,19,15,,17,11,,16,12,,3,11,,2,12,,2,5,,2,5,,,5,,,5,,,5,,,5,,,7,,,7,,,6,,,6,,,4,,,2,,2,,,,2,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,2,,,3,,,3,,,3,,,3,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafael Fernandes,2,6,,,13,,2,6,,,11,,,11,,,13,,,13,,,9,,,9,,,9,,,9,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,7,,,7,,,7,,,7,,,7,,,6,,,6,,5,,,,4,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,2,,,2,,,2,,,2,,,2,,,1,,,1,,,1,,,,1,,,,,,,,,,,,,,1,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafael Godeiro,11,20,,10,22,,11,20,,10,21,,10,13,,10,13,,10,13,,8,7,,8,7,,8,7,,8,9,,5,5,,5,5,,5,5,,5,5,,4,5,,4,5,,4,5,,4,5,,4,5,,4,5,,4,5,,,4,,,4,,,3,,,3,,,4,,,3,,,3,,,4,,,3,,,2,,,2,,,2,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riacho da Cruz,10,3,1,10,4,1,10,3,1,10,3,1,10,3,1,10,3,1,10,3,1,9,2,1,9,2,1,9,2,1,9,2,1,9,2,1,9,2,1,9,2,1,9,2,1,9,2,1,7,3,1,7,3,1,7,3,1,7,3,1,7,3,1,7,3,1,7,2,1,7,2,1,6,2,1,6,2,1,6,2,1,3,6,1,3,6,1,3,7,1,3,6,1,3,,1,3,,1,2,,1,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,2,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,,,,1,,,2,,,3,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riacho de Santana,,1,,,1,,,1,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,3,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riachuelo,108,72,1,38,124,1,108,72,1,38,113,1,38,100,1,38,103,1,35,104,1,32,92,1,32,92,1,32,92,1,31,92,1,28,82,,24,83,,24,83,,22,84,,12,86,,11,87,,11,87,,9,41,,9,41,,9,41,,9,41,,8,24,,8,24,,8,18,,7,19,,4,24,,4,26,,4,22,,4,21,,4,22,,4,20,,3,20,,2,20,,2,18,,2,18,,2,18,,2,18,,16,1,,1,12,,1,11,,1,10,,1,7,,1,6,,1,5,,1,3,,1,3,,1,3,,1,2,,1,2,,1,3,,,3,,,2,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,2,,,2,,,2,,,,1,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rio do Fogo,56,77,1,47,63,1,56,77,1,43,63,1,41,48,1,40,51,1,35,51,1,31,40,1,31,40,1,31,40,1,31,40,1,30,34,,25,38,,25,38,,25,38,,24,38,,18,42,,18,42,,16,30,,16,31,,16,31,,16,31,,14,18,,14,18,,13,16,,9,20,,9,12,,9,14,,9,12,,7,14,,6,15,,6,17,,6,16,,3,16,,,13,,,13,,,13,,,14,,14,,,,15,,,15,,,17,,,12,,,12,,,12,,,7,,,7,,,3,,,3,,,3,,,4,,,4,,,3,,,3,,,3,,,3,,,3,,,4,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,4,,,4,,,4,,,4,,,4,,,3,,,3,,,3,,,,3,,,,2,,,2,,,2,,,,3,,,,3,,,3,,,,3,,,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodolfo Fernandes,17,10,,8,21,,17,10,,7,21,,7,18,,7,18,,7,18,,7,15,,7,15,,7,15,,7,15,,7,15,,7,15,,7,15,,7,15,,6,15,,6,15,,6,15,,3,11,,3,11,,3,11,,3,11,,2,9,,2,9,,2,9,,2,9,,1,5,,1,5,,1,5,,1,5,,1,5,,1,5,,1,5,,1,5,,1,5,,1,5,,1,5,,1,6,,2,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruy Barbosa,33,27,,19,41,,33,27,,19,39,,19,31,,19,32,,18,32,,16,24,,16,24,,16,24,,15,25,,14,21,,14,21,,13,22,,12,23,,11,23,,11,23,,7,26,,7,16,,7,16,,7,16,,7,16,,6,9,,6,9,,6,4,,5,4,,3,5,,3,5,,2,6,,2,6,,2,4,,2,4,,,3,,,3,,,3,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Cruz,176,362,2,135,263,2,176,362,2,130,246,2,125,215,2,123,263,2,119,265,1,101,206,1,101,206,1,101,206,1,97,207,1,95,198,1,93,198,1,91,199,1,91,199,,80,200,,75,205,,75,208,,59,172,,59,181,,59,181,,59,184,,48,157,,48,157,,43,134,,39,138,,35,119,,34,107,,24,108,,23,101,,23,99,,22,95,,22,96,,21,87,,19,82,,19,83,,19,83,,17,85,,82,17,,14,77,,12,75,,12,73,,12,60,,12,61,,12,57,,12,53,,12,53,,12,49,,12,46,,12,46,,12,53,,12,52,,11,51,,10,60,,8,49,,8,45,,4,41,,4,44,,3,28,,3,26,,3,24,,3,24,,3,26,,2,7,,2,7,,1,8,,1,8,,1,7,,1,9,,1,10,,1,11,,,13,,,14,,,12,,,10,,,,10,,,,12,,,10,,,7,,,,3,,,,3,,,4,,,,5,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,
Santa Maria,56,107,2,34,62,2,56,107,2,31,61,1,24,51,1,23,59,1,20,60,1,18,49,1,18,49,1,18,49,1,18,49,1,18,41,1,16,43,1,15,43,,15,43,,15,43,,12,46,,12,46,,11,17,,11,17,,11,17,,9,17,,9,17,,9,17,,8,14,,7,15,,4,19,,4,17,,4,17,,3,12,,2,10,,2,9,,2,8,,2,8,,2,10,,4,10,,3,10,,2,8,,8,2,,2,8,,2,8,,2,10,,2,7,,2,7,,1,7,,1,4,,1,4,,1,3,,1,3,,1,3,,1,3,,1,3,,1,3,,1,3,,1,3,,,4,,,4,,,3,,,3,,,3,,,3,,,3,,,3,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,,,,1,,,1,,,1,,,,1,,,,1,,,1,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Santana do Matos,30,53,1,22,53,,30,53,1,21,51,,20,41,,20,44,,19,44,,18,29,,18,29,,17,29,,17,29,,17,28,,17,28,,17,28,,18,28,,17,28,,16,29,,16,29,,15,23,,15,24,,15,24,,15,24,,15,16,,15,16,,10,13,,10,13,,9,18,,9,18,,8,15,,7,16,,7,15,,6,14,,6,15,,3,15,,2,14,,2,14,,2,14,,2,14,,13,2,,2,11,,2,9,,2,8,,1,10,,1,10,,1,5,,,5,,,6,,,6,,,4,,,3,,,2,,,2,,,2,,,2,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,1,,,1,,,1,,,,1,,,,1,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santana do Seridó,11,6,,7,21,,11,6,,7,21,,6,19,,6,20,,6,20,,5,19,,5,19,,5,19,,5,19,,5,12,,5,12,,5,12,,5,12,,4,12,,4,12,,4,12,,3,13,,3,13,,3,13,,3,13,,3,11,,3,11,,2,8,,2,8,,1,7,,,6,,,6,,,6,,,5,,,4,,,2,,,2,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santo Antônio,169,201,7,110,174,7,169,201,7,91,166,7,86,156,7,86,171,7,81,171,5,65,133,5,64,133,5,64,133,5,62,133,5,56,118,5,54,119,5,53,120,5,54,120,5,45,120,5,42,123,3,40,127,3,34,89,2,34,95,2,34,95,2,33,96,2,30,74,2,30,74,2,27,58,2,22,63,2,21,60,2,21,48,2,20,48,2,19,45,1,19,38,1,19,40,1,17,40,1,16,39,1,13,41,,13,41,,13,38,,12,37,,34,10,,10,30,,10,31,,10,27,,11,25,,11,25,,11,21,,10,20,,10,14,,9,15,,9,15,,9,15,,9,15,,9,15,,8,15,,8,18,,6,21,,6,17,,6,16,,6,15,,6,11,,6,18,,5,18,,5,11,,5,11,,4,7,,4,7,,3,8,,3,8,,3,7,,2,12,,2,12,,1,13,,1,11,,1,11,,1,9,,1,7,,,1,7,,,1,7,,,3,,,3,,,,1,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Bento do Norte,30,35,,12,37,,30,35,,10,37,,9,32,,9,32,,8,32,,5,24,,6,24,,4,24,,3,26,,3,17,,2,18,,2,18,,2,18,,2,18,,2,18,,2,18,,2,10,,2,10,,2,10,,2,10,,2,8,,2,8,,1,8,,1,8,,1,6,,1,6,,1,5,,2,5,,2,4,,1,5,,,4,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,2,,,2,,,2,,,2,,,2,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Bento do Trairí,32,32,,11,15,,32,32,,10,14,,10,14,,10,24,,9,24,,8,24,,8,24,,8,24,,8,24,,8,23,,8,23,,8,23,,8,23,,5,23,,4,24,,4,24,,4,22,,4,23,,4,23,,4,23,,4,22,,4,22,,3,20,,3,20,,2,20,,2,20,,2,20,,1,21,,1,20,,1,19,,,19,,,19,,,19,,,19,,,19,,,18,,18,,,,17,,,17,,,17,,,15,,,15,,,14,,,14,,,12,,,12,,,12,,,12,,,12,,,12,,,12,,,9,,,9,,,9,,,9,,,9,,,7,,,7,,,7,,,6,,,6,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,2,,,,,,,,,1,,,,1,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Fernando,6,10,1,6,9,1,6,10,1,6,7,1,6,6,1,6,6,1,6,6,1,5,6,1,5,6,1,5,6,1,5,6,,5,6,,4,6,,3,6,,3,6,,3,6,,3,6,,3,6,,3,5,,3,5,,3,5,,2,5,,2,4,,2,4,,2,4,,2,4,,1,2,,,6,,,3,,,3,,1,3,,1,3,,1,3,,,2,,,2,,,2,,,2,,,1,,1,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,2,,,,2,,,2,,,2,,,,2,,,,2,,,2,,,,1,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
